epoch,mAP,wolf,dog,val_mAP,val_wolf,val_dog
1,0.0268,0.0506,0.0031,0.0499,0.096,0.0038
2,0.061,0.1199,0.002,0.0266,0.0476,0.0057
3,0.041,0.0662,0.0158,0.0449,0.0564,0.0334
4,0.0998,0.1822,0.0174,0.0961,0.1786,0.0136
5,0.1866,0.276,0.0972,0.1696,0.2128,0.1264
6,0.2112,0.266,0.1564,0.1558,0.2173,0.0944
7,0.2791,0.3474,0.2108,0.2528,0.3109,0.1947
8,0.4311,0.5336,0.3286,0.4409,0.446,0.4357
9,0.548,0.5884,0.5076,0.583,0.6103,0.5558
10,0.5388,0.5982,0.4795,0.5789,0.5384,0.6195
11,0.5998,0.6538,0.5457,0.6013,0.5862,0.6164
12,0.5268,0.618,0.4357,0.6118,0.6056,0.6179
13,0.6166,0.6318,0.6013,0.5956,0.548,0.6432
14,0.6761,0.686,0.6663,0.72,0.7098,0.7302
15,0.6696,0.7159,0.6233,0.6837,0.6775,0.6899
16,0.6641,0.6839,0.6444,0.6925,0.6389,0.7461
17,0.7363,0.7196,0.753,0.6909,0.6706,0.7113
18,0.7457,0.7206,0.7708,0.7573,0.7252,0.7894
19,0.7629,0.7372,0.7886,0.766,0.7074,0.8247
20,0.7365,0.7412,0.7318,0.6805,0.6473,0.7138
21,0.7655,0.7556,0.7754,0.7461,0.7129,0.7793
22,0.7599,0.7348,0.7851,0.7377,0.6842,0.7912
23,0.7718,0.7461,0.7976,0.7264,0.6811,0.7717
24,0.7772,0.7504,0.8039,0.7595,0.7114,0.8077
25,0.7915,0.7671,0.816,0.8035,0.7478,0.8592
26,0.7755,0.7606,0.7904,0.7801,0.7313,0.8289
27,0.8112,0.7883,0.834,0.8014,0.7658,0.8371
28,0.7789,0.7737,0.7841,0.7325,0.7047,0.7602
29,0.8174,0.7973,0.8375,0.7594,0.7096,0.8092
30,0.8275,0.7958,0.8591,0.8111,0.7617,0.8604
31,0.7865,0.7699,0.803,0.7806,0.7341,0.8271
32,0.8317,0.8092,0.8541,0.806,0.7584,0.8537
33,0.8287,0.8029,0.8545,0.7966,0.7485,0.8447
34,0.8424,0.8142,0.8706,0.7994,0.754,0.8448
35,0.8362,0.8123,0.8601,0.8032,0.7527,0.8538
36,0.8366,0.8085,0.8647,0.8133,0.7784,0.8482
37,0.8461,0.8218,0.8704,0.7919,0.7607,0.823
38,0.8587,0.8314,0.8859,0.8166,0.7679,0.8653
39,0.8458,0.822,0.8697,0.8069,0.7793,0.8345
40,0.8488,0.8198,0.8777,0.8141,0.7858,0.8425
41,0.8567,0.8259,0.8876,0.8128,0.767,0.8586
42,0.8431,0.8046,0.8816,0.7734,0.712,0.8349
43,0.8545,0.8233,0.8858,0.8169,0.7844,0.8493
44,0.8508,0.8247,0.8768,0.8253,0.7857,0.8649
45,0.8639,0.8372,0.8906,0.8145,0.7698,0.8592
46,0.8568,0.8292,0.8844,0.805,0.7824,0.8275
47,0.8679,0.8436,0.8922,0.8202,0.7845,0.8559
48,0.8656,0.8381,0.8931,0.8279,0.7922,0.8636
49,0.8727,0.8455,0.8999,0.8128,0.7665,0.8592
50,0.866,0.8375,0.8945,0.8137,0.7754,0.852
51,0.8559,0.8299,0.8818,0.8029,0.7649,0.841
52,0.878,0.8573,0.8988,0.8146,0.767,0.8622
53,0.8437,0.8364,0.8511,0.746,0.7133,0.7786
54,0.8691,0.8507,0.8875,0.8044,0.7623,0.8465
55,0.8673,0.8457,0.889,0.8009,0.7684,0.8334
56,0.8694,0.8403,0.8984,0.8107,0.7589,0.8624
57,0.8798,0.8594,0.9001,0.8392,0.8065,0.8718
58,0.8825,0.8605,0.9044,0.8329,0.7949,0.8709
59,0.8812,0.8601,0.9024,0.8256,0.7904,0.8609
60,0.8795,0.8573,0.9016,0.8343,0.8079,0.8608
61,0.8796,0.855,0.9043,0.8248,0.7942,0.8553
62,0.8751,0.8462,0.9039,0.8003,0.7676,0.833
63,0.8788,0.8528,0.9049,0.8339,0.799,0.8689
64,0.8771,0.8562,0.898,0.8214,0.7931,0.8497
