               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.096292,            0.077071,            0.026528,             0.17409,             0.33933,             0.14913,            0.032289,            0.073679,            0.040873,            0.022563,            0.003314,            0.003314,            0.070174
                   1,            0.076334,             0.05224,            0.022629,             0.19216,             0.38754,             0.17934,            0.044499,            0.078026,            0.029491,            0.019091,           0.0065157,           0.0065157,            0.040043
                   2,            0.070751,            0.049037,             0.02035,             0.20852,             0.43647,             0.21114,             0.05278,            0.073613,            0.028673,            0.017258,           0.0095854,           0.0095854,           0.0097792
                   3,             0.06245,            0.051317,            0.017169,              0.4614,             0.62859,             0.51931,             0.21045,            0.048902,            0.029596,            0.014433,            0.009406,            0.009406,            0.009406
                   4,            0.053399,            0.047629,            0.015655,             0.62351,             0.68502,             0.69154,             0.30016,            0.043029,            0.031057,            0.010676,            0.009406,            0.009406,            0.009406
                   5,            0.052068,            0.047657,            0.012323,             0.61602,             0.58747,             0.64287,             0.29605,             0.04382,            0.028508,            0.008524,            0.009208,            0.009208,            0.009208
                   6,            0.046902,            0.046048,            0.011453,             0.60626,             0.68671,              0.6617,             0.31703,            0.040996,            0.027204,           0.0065029,             0.00901,             0.00901,             0.00901
                   7,            0.045925,            0.046317,            0.010221,             0.77709,             0.73764,             0.83297,             0.42498,            0.036887,            0.027913,           0.0059659,            0.008812,            0.008812,            0.008812
                   8,            0.045662,            0.044905,           0.0092695,             0.81324,             0.79474,             0.87457,             0.44837,            0.035646,            0.026545,           0.0058296,            0.008614,            0.008614,            0.008614
                   9,            0.043537,            0.042993,           0.0077776,              0.8116,             0.76263,             0.86067,             0.43847,            0.036269,            0.025944,           0.0042533,            0.008416,            0.008416,            0.008416
                  10,            0.043364,            0.041983,           0.0072688,              0.8129,             0.83158,             0.89996,             0.48245,            0.035952,            0.025973,            0.003593,            0.008218,            0.008218,            0.008218
                  11,            0.042391,            0.044442,           0.0072467,             0.82636,             0.83282,              0.8996,             0.46682,             0.03491,            0.026375,           0.0036992,             0.00802,             0.00802,             0.00802
                  12,            0.041174,            0.042844,           0.0058966,             0.84642,             0.80027,             0.89538,             0.48592,            0.032998,            0.026354,           0.0026739,            0.007822,            0.007822,            0.007822
                  13,            0.039243,            0.043365,           0.0064395,             0.86946,             0.82688,             0.90747,             0.48907,            0.034708,            0.024999,           0.0021843,            0.007624,            0.007624,            0.007624
                  14,            0.039957,            0.043071,           0.0062148,             0.89335,             0.80726,             0.93679,             0.54326,             0.03314,            0.024788,           0.0018693,            0.007426,            0.007426,            0.007426
                  15,            0.038815,            0.041989,           0.0049413,             0.77828,             0.81039,             0.87293,             0.50829,            0.032384,            0.023883,           0.0014648,            0.007228,            0.007228,            0.007228
                  16,            0.037871,            0.041208,            0.004275,             0.79072,             0.85916,             0.92111,             0.54818,            0.032831,             0.02351,           0.0018788,             0.00703,             0.00703,             0.00703
                  17,            0.036846,            0.039615,           0.0053461,             0.87894,             0.86878,             0.94352,             0.56163,            0.032033,            0.024526,           0.0017175,            0.006832,            0.006832,            0.006832
                  18,            0.036898,            0.040477,           0.0054124,             0.91825,             0.86513,             0.95833,             0.57849,            0.029826,            0.022973,           0.0014694,            0.006634,            0.006634,            0.006634
                  19,            0.036457,            0.038395,           0.0049219,             0.91408,             0.86217,             0.95817,             0.59584,            0.028735,            0.023366,          0.00098079,            0.006436,            0.006436,            0.006436
                  20,            0.036264,             0.03997,           0.0048265,             0.88187,             0.87608,              0.9504,             0.56092,            0.032775,             0.02526,           0.0014085,            0.006238,            0.006238,            0.006238
                  21,             0.03606,            0.039738,           0.0048057,             0.91174,             0.87506,             0.95931,             0.60056,            0.028156,              0.0246,            0.001313,             0.00604,             0.00604,             0.00604
                  22,            0.035058,             0.04102,           0.0041516,             0.91134,             0.87954,             0.96417,             0.61482,             0.02703,            0.022979,           0.0010801,            0.005842,            0.005842,            0.005842
                  23,            0.036098,            0.040867,           0.0036717,             0.88909,             0.90267,             0.96567,             0.61664,            0.027994,            0.022821,          0.00070462,            0.005644,            0.005644,            0.005644
                  24,              0.0353,            0.039421,           0.0036445,             0.89055,             0.89438,             0.96089,             0.62057,            0.027063,            0.022973,          0.00073374,            0.005446,            0.005446,            0.005446
                  25,            0.034089,            0.038583,           0.0035293,             0.92325,             0.89706,             0.96957,             0.62568,            0.026197,            0.022927,          0.00057385,            0.005248,            0.005248,            0.005248
                  26,             0.03341,            0.038756,           0.0032208,             0.92448,             0.90303,             0.97007,             0.64341,            0.026266,             0.02254,          0.00084629,             0.00505,             0.00505,             0.00505
                  27,            0.033705,            0.037838,           0.0040833,              0.9151,             0.90987,             0.97286,             0.64204,            0.025536,            0.022675,          0.00073357,            0.004852,            0.004852,            0.004852
                  28,            0.032447,             0.03913,           0.0038054,             0.94447,             0.90679,             0.97226,             0.63525,            0.025814,            0.023662,          0.00074572,            0.004654,            0.004654,            0.004654
                  29,            0.032533,            0.038452,           0.0036159,             0.93654,             0.91772,             0.97799,             0.65019,            0.025491,            0.023126,          0.00053948,            0.004456,            0.004456,            0.004456
                  30,            0.032364,            0.038635,           0.0028793,             0.92505,             0.92102,             0.97501,             0.64295,            0.025114,            0.022841,          0.00070332,            0.004258,            0.004258,            0.004258
                  31,            0.031838,            0.037164,           0.0028617,             0.94342,             0.92697,             0.97993,             0.65917,            0.024957,            0.022154,          0.00032763,             0.00406,             0.00406,             0.00406
                  32,            0.032211,            0.037118,           0.0026204,             0.92694,             0.93941,             0.97901,             0.67246,            0.023739,             0.02152,          0.00033185,            0.003862,            0.003862,            0.003862
                  33,            0.031802,            0.037169,           0.0021908,             0.93217,             0.92192,             0.97578,             0.66864,            0.023307,            0.022208,          0.00045272,            0.003664,            0.003664,            0.003664
                  34,            0.031136,            0.037419,           0.0021079,             0.91336,               0.913,             0.97084,             0.65651,              0.0239,            0.022271,          0.00039085,            0.003466,            0.003466,            0.003466
                  35,            0.030728,            0.037307,           0.0035016,             0.95083,             0.91317,             0.97583,             0.66639,            0.023599,            0.022262,          0.00039454,            0.003268,            0.003268,            0.003268
                  36,            0.030088,            0.034731,           0.0029743,             0.95103,             0.92483,             0.98342,             0.68946,            0.022962,            0.021244,          0.00026064,             0.00307,             0.00307,             0.00307
                  37,            0.029027,            0.035447,           0.0025872,              0.9479,             0.91843,             0.98007,              0.6874,            0.022461,             0.02167,          0.00028033,            0.002872,            0.002872,            0.002872
                  38,            0.029675,            0.034778,           0.0020767,             0.93947,             0.93419,             0.97689,              0.6795,            0.022489,            0.023506,          0.00023612,            0.002674,            0.002674,            0.002674
                  39,            0.030264,            0.035803,           0.0026074,             0.94492,             0.92913,             0.98067,             0.68878,            0.022807,            0.021264,          0.00015883,            0.002476,            0.002476,            0.002476
                  40,            0.028921,            0.036321,           0.0022082,             0.93821,             0.92914,             0.97829,             0.67811,             0.02251,            0.021932,          0.00015951,            0.002278,            0.002278,            0.002278
                  41,            0.028808,            0.034795,           0.0021819,              0.9236,             0.94358,             0.97942,             0.68605,            0.022178,            0.021601,          0.00020631,             0.00208,             0.00208,             0.00208
                  42,            0.029879,            0.036086,           0.0023969,             0.94089,             0.93499,             0.98371,             0.70501,            0.021267,            0.020567,          0.00016817,            0.001882,            0.001882,            0.001882
                  43,            0.027838,            0.035442,           0.0024988,             0.94035,             0.94213,             0.98224,             0.69512,            0.021821,            0.021127,          0.00023259,            0.001684,            0.001684,            0.001684
                  44,            0.028577,            0.034212,           0.0019941,             0.95693,             0.93965,             0.98547,             0.70953,            0.021161,            0.021403,            0.000154,            0.001486,            0.001486,            0.001486
                  45,            0.028161,            0.034381,            0.002573,             0.95153,             0.93888,             0.98602,              0.6958,            0.021891,             0.02151,          0.00019407,            0.001288,            0.001288,            0.001288
                  46,            0.028895,            0.034241,           0.0020094,             0.94667,             0.93623,             0.98398,             0.70815,            0.020917,            0.021225,          0.00014649,             0.00109,             0.00109,             0.00109
                  47,            0.027953,            0.034914,            0.002174,             0.94493,             0.94937,             0.98693,             0.71193,            0.020733,            0.021207,          0.00013685,            0.000892,            0.000892,            0.000892
                  48,            0.027805,            0.035168,           0.0017522,              0.9495,             0.94622,             0.98531,             0.71641,             0.02061,            0.022141,          0.00013622,            0.000694,            0.000694,            0.000694
                  49,            0.027452,            0.036696,           0.0019644,             0.94863,             0.94971,             0.98633,             0.71984,            0.020295,            0.020561,          0.00015177,            0.000496,            0.000496,            0.000496
