               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077271,            0.032739,            0.024835,             0.23057,             0.52643,               0.263,             0.05957,            0.053477,            0.016941,             0.01913,            0.003314,            0.003314,            0.070174
                   1,            0.057775,            0.021857,            0.019861,              0.4681,             0.60329,             0.49903,             0.19467,            0.053185,            0.010666,            0.014416,           0.0065157,           0.0065157,            0.040043
                   2,             0.05661,            0.017557,            0.015009,             0.44681,             0.68709,              0.4708,             0.18875,            0.056092,           0.0088273,            0.010619,           0.0095854,           0.0095854,           0.0097792
                   3,            0.052896,            0.016393,            0.013385,             0.73006,             0.67915,             0.79072,             0.42247,            0.038078,           0.0087338,           0.0079475,            0.009406,            0.009406,            0.009406
                   4,            0.044501,             0.01564,            0.011545,             0.70211,             0.80032,             0.76127,             0.42613,             0.03273,           0.0091192,           0.0069644,            0.009406,            0.009406,            0.009406
                   5,            0.039669,             0.01461,           0.0098424,             0.78729,              0.8133,             0.86223,             0.49366,            0.031697,           0.0083565,           0.0054783,            0.009208,            0.009208,            0.009208
                   6,            0.037362,            0.014537,            0.009004,             0.75377,             0.73904,             0.80682,             0.48145,            0.031524,            0.008728,           0.0091045,             0.00901,             0.00901,             0.00901
                   7,            0.037358,            0.014522,            0.008273,             0.84241,             0.82743,             0.91559,              0.5957,            0.029102,           0.0075204,           0.0050895,            0.008812,            0.008812,            0.008812
                   8,            0.037131,            0.014004,           0.0066981,             0.88748,             0.87586,             0.94814,             0.62898,            0.024926,           0.0071621,           0.0035285,            0.008614,            0.008614,            0.008614
                   9,            0.033964,            0.014239,           0.0063532,             0.90045,             0.88217,             0.94189,             0.63857,            0.023604,           0.0070762,           0.0038345,            0.008416,            0.008416,            0.008416
                  10,            0.032153,            0.013493,            0.006713,             0.88565,             0.89619,             0.95163,             0.63042,            0.024555,           0.0074204,           0.0029849,            0.008218,            0.008218,            0.008218
                  11,            0.030425,            0.013018,           0.0061424,             0.89096,             0.88482,             0.94352,             0.63318,            0.023142,           0.0072003,           0.0029252,             0.00802,             0.00802,             0.00802
                  12,            0.029734,            0.013078,           0.0057549,             0.92132,             0.93747,             0.96994,             0.66878,            0.022719,           0.0065676,           0.0023348,            0.007822,            0.007822,            0.007822
                  13,            0.029679,            0.013089,           0.0049473,             0.91359,             0.93564,             0.97317,             0.68431,            0.023918,           0.0062632,           0.0020803,            0.007624,            0.007624,            0.007624
                  14,            0.028687,            0.012485,            0.004851,             0.93713,             0.94843,             0.98077,             0.68406,            0.021708,           0.0063711,           0.0016934,            0.007426,            0.007426,            0.007426
                  15,            0.028486,            0.012449,           0.0043263,             0.95223,             0.96728,             0.99027,             0.74789,            0.019019,           0.0058983,           0.0012292,            0.007228,            0.007228,            0.007228
                  16,            0.026654,            0.011555,           0.0036968,             0.96216,              0.9795,             0.99248,             0.74202,            0.019429,            0.005747,           0.0011752,             0.00703,             0.00703,             0.00703
                  17,            0.027487,            0.012244,           0.0046453,             0.94829,             0.95937,             0.98504,             0.73208,            0.019617,           0.0058875,           0.0017851,            0.006832,            0.006832,            0.006832
                  18,            0.025702,             0.01217,           0.0051828,             0.95566,             0.93859,             0.98588,             0.75311,            0.018117,            0.005763,           0.0017206,            0.006634,            0.006634,            0.006634
                  19,            0.026038,            0.011659,           0.0044515,             0.94983,             0.96884,             0.98877,               0.737,            0.018771,           0.0058451,           0.0012154,            0.006436,            0.006436,            0.006436
                  20,            0.025573,            0.011247,           0.0038201,             0.96426,             0.97895,             0.99165,             0.75978,            0.018939,           0.0055731,          0.00093782,            0.006238,            0.006238,            0.006238
                  21,            0.024134,            0.011069,           0.0034204,             0.97003,             0.98532,             0.99323,             0.78528,             0.01703,           0.0052103,          0.00068526,             0.00604,             0.00604,             0.00604
                  22,            0.023971,            0.010635,           0.0034973,             0.96072,             0.99096,             0.99343,             0.77604,            0.017463,           0.0050938,           0.0008821,            0.005842,            0.005842,            0.005842
                  23,            0.024023,            0.010644,           0.0034798,             0.97045,             0.99115,             0.99369,             0.77349,            0.017566,           0.0052237,          0.00069287,            0.005644,            0.005644,            0.005644
