               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.083497,            0.032449,              0.0235,             0.27238,             0.59604,              0.3104,            0.080974,            0.054319,            0.017613,            0.017771,            0.003314,            0.003314,            0.070174
                   1,            0.060951,            0.021328,            0.018083,             0.52931,             0.65366,             0.62528,             0.24491,             0.04647,            0.010718,            0.010793,           0.0065157,           0.0065157,            0.040043
                   2,            0.060087,            0.016579,            0.013013,             0.38317,             0.56352,             0.39394,             0.12216,            0.052948,           0.0096306,            0.010934,           0.0095854,           0.0095854,           0.0097792
                   3,            0.057389,            0.017242,            0.013372,             0.61138,             0.57452,             0.60082,             0.25712,            0.041557,             0.01063,            0.013753,            0.009406,            0.009406,            0.009406
                   4,            0.046987,            0.016072,           0.0099255,             0.75926,             0.83785,             0.86582,             0.48377,            0.036684,           0.0085661,           0.0058508,            0.009406,            0.009406,            0.009406
                   5,            0.040933,            0.016021,            0.010677,              0.7348,             0.80741,             0.84033,             0.44674,            0.031094,           0.0083802,           0.0050259,            0.009208,            0.009208,            0.009208
                   6,            0.038488,            0.016074,           0.0087886,              0.7132,             0.83796,             0.78407,             0.42602,            0.033494,            0.008437,           0.0043313,             0.00901,             0.00901,             0.00901
                   7,            0.038933,            0.014961,           0.0096779,             0.78538,             0.79653,             0.85808,             0.47581,            0.031473,           0.0085801,           0.0061015,            0.008812,            0.008812,            0.008812
                   8,            0.036912,            0.015014,            0.008654,              0.8471,             0.83838,             0.90462,             0.57712,            0.028033,           0.0079668,           0.0036496,            0.008614,            0.008614,            0.008614
                   9,            0.034207,            0.014514,            0.006157,             0.89489,              0.8933,             0.95645,             0.58928,             0.02807,           0.0073629,           0.0024519,            0.008416,            0.008416,            0.008416
                  10,            0.032574,            0.013543,           0.0065593,             0.86556,             0.88022,             0.93747,             0.62497,            0.024863,            0.007946,           0.0026609,            0.008218,            0.008218,            0.008218
                  11,            0.031983,            0.013192,           0.0060317,              0.8394,             0.82578,             0.91621,             0.60834,            0.024137,           0.0079561,           0.0068914,             0.00802,             0.00802,             0.00802
                  12,            0.030846,            0.012654,           0.0062806,             0.89418,             0.88895,             0.94225,             0.62478,            0.023644,           0.0074266,           0.0035161,            0.007822,            0.007822,            0.007822
                  13,            0.031467,            0.013175,            0.005558,             0.87717,             0.90239,              0.9428,             0.67941,            0.021371,           0.0073263,           0.0016204,            0.007624,            0.007624,            0.007624
                  14,            0.029914,            0.012847,           0.0050093,             0.93987,             0.93493,             0.97812,             0.69864,             0.02199,           0.0064797,           0.0014953,            0.007426,            0.007426,            0.007426
                  15,            0.030065,            0.012922,           0.0041023,             0.95347,             0.95489,             0.98334,             0.71424,            0.021192,           0.0064924,           0.0015108,            0.007228,            0.007228,            0.007228
                  16,            0.028783,            0.012537,           0.0036559,              0.9504,             0.95835,             0.98452,              0.7283,            0.020491,            0.006476,          0.00085469,             0.00703,             0.00703,             0.00703
                  17,            0.029145,            0.012375,            0.004744,             0.84801,             0.75723,             0.82625,              0.5408,            0.026855,           0.0095263,           0.0023766,            0.006832,            0.006832,            0.006832
                  18,             0.02724,            0.013344,           0.0047185,             0.94949,             0.95527,             0.98397,             0.73733,            0.019101,           0.0062249,           0.0021873,            0.006634,            0.006634,            0.006634
                  19,            0.026555,            0.012759,            0.004606,             0.95606,             0.96319,             0.98834,             0.70533,            0.019278,           0.0059454,          0.00094052,            0.006436,            0.006436,            0.006436
                  20,            0.026473,            0.012419,           0.0038639,             0.95781,             0.95862,             0.98834,             0.73839,            0.019499,           0.0058327,           0.0014779,            0.006238,            0.006238,            0.006238
                  21,            0.026231,            0.012041,           0.0039941,             0.96238,             0.97666,             0.99186,             0.74562,            0.017969,           0.0056658,           0.0008759,             0.00604,             0.00604,             0.00604
