               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081556,            0.030069,            0.025584,             0.22817,              0.5319,             0.19769,             0.07114,            0.058349,             0.01737,            0.018699,            0.003314,            0.003314,            0.070174
                   1,            0.062958,            0.021209,            0.019502,             0.35055,             0.56209,             0.36648,             0.12173,            0.061902,            0.011162,            0.015543,           0.0065157,           0.0065157,            0.040043
                   2,            0.059621,             0.01807,            0.015664,             0.42735,             0.54762,             0.49239,             0.19344,            0.047358,            0.011307,            0.014821,           0.0095854,           0.0095854,           0.0097792
                   3,            0.052795,            0.017665,            0.015351,             0.52542,             0.64197,             0.63378,              0.3382,            0.041649,           0.0097601,            0.010179,            0.009406,            0.009406,            0.009406
                   4,            0.046919,            0.016685,            0.012645,             0.62448,             0.74403,             0.69503,             0.35749,             0.03523,           0.0094923,           0.0085176,            0.009406,            0.009406,            0.009406
                   5,            0.041459,            0.016549,            0.010092,             0.76649,             0.69979,             0.79518,             0.45021,            0.030874,           0.0095665,           0.0051179,            0.009208,            0.009208,            0.009208
                   6,            0.039536,             0.01561,            0.008611,             0.78317,              0.8241,              0.8896,             0.45778,             0.03121,           0.0085247,           0.0057833,             0.00901,             0.00901,             0.00901
                   7,            0.038336,            0.015719,           0.0089627,              0.7333,             0.81501,             0.85766,             0.49241,            0.030991,            0.008774,           0.0056031,            0.008812,            0.008812,            0.008812
                   8,            0.035858,            0.015559,           0.0074292,             0.78399,             0.84085,             0.88049,             0.52776,            0.026701,           0.0082088,           0.0056823,            0.008614,            0.008614,            0.008614
                   9,            0.033512,            0.014879,           0.0067941,             0.86706,             0.87033,             0.93088,             0.60719,            0.025588,           0.0077586,           0.0044316,            0.008416,            0.008416,            0.008416
                  10,            0.034463,            0.014567,           0.0062283,             0.88074,             0.84577,              0.9259,             0.61683,            0.024356,           0.0078811,           0.0029069,            0.008218,            0.008218,            0.008218
                  11,            0.033509,            0.014541,            0.006174,             0.84508,             0.79282,             0.86244,              0.5728,            0.025431,           0.0081687,           0.0045799,             0.00802,             0.00802,             0.00802
                  12,            0.031843,            0.014032,            0.005761,             0.93743,             0.91437,             0.97341,             0.66361,            0.022868,           0.0071123,           0.0017726,            0.007822,            0.007822,            0.007822
                  13,            0.031226,            0.013664,           0.0060571,             0.87199,             0.86989,             0.93038,              0.6007,            0.023731,           0.0078292,           0.0026465,            0.007624,            0.007624,            0.007624
                  14,            0.031521,            0.013847,           0.0056084,             0.84931,             0.90362,             0.92031,             0.60614,             0.02474,            0.007778,           0.0021317,            0.007426,            0.007426,            0.007426
                  15,            0.031638,            0.014011,           0.0055954,             0.88075,             0.92506,             0.96535,             0.65239,            0.024001,           0.0069023,           0.0017303,            0.007228,            0.007228,            0.007228
                  16,            0.030247,            0.013202,           0.0059155,             0.88398,             0.86179,             0.93317,             0.64112,              0.0229,           0.0074209,           0.0043516,             0.00703,             0.00703,             0.00703
                  17,            0.028758,            0.012802,           0.0051683,             0.89552,             0.90832,             0.95262,             0.66281,             0.02117,           0.0068699,           0.0027779,            0.006832,            0.006832,            0.006832
                  18,            0.028057,             0.01298,           0.0043376,             0.94596,             0.95513,             0.98747,             0.72225,            0.020241,           0.0063764,          0.00091973,            0.006634,            0.006634,            0.006634
                  19,            0.028435,            0.013061,           0.0051968,             0.94374,             0.94957,             0.98387,             0.71736,            0.021266,           0.0063522,           0.0014588,            0.006436,            0.006436,            0.006436
                  20,            0.027008,            0.013054,            0.004103,             0.93655,             0.96547,             0.98834,             0.72782,            0.021463,           0.0061084,          0.00095944,            0.006238,            0.006238,            0.006238
                  21,            0.027212,             0.01193,           0.0038776,              0.9674,             0.96728,             0.99117,             0.73702,            0.020032,           0.0060011,          0.00079807,             0.00604,             0.00604,             0.00604
                  22,            0.026482,            0.011775,           0.0044514,             0.95784,             0.96128,             0.99037,             0.75178,            0.018683,           0.0058366,           0.0010495,            0.005842,            0.005842,            0.005842
                  23,            0.026117,            0.012201,            0.003864,             0.92917,             0.94756,              0.9786,             0.70711,            0.019293,           0.0061725,          0.00072478,            0.005644,            0.005644,            0.005644
                  24,            0.025757,            0.012079,            0.003684,              0.8811,             0.91515,             0.94878,             0.69084,            0.019038,           0.0060522,          0.00060668,            0.005446,            0.005446,            0.005446
                  25,            0.025555,            0.011827,            0.004354,             0.94877,             0.95381,             0.98717,             0.71758,            0.019713,           0.0059166,           0.0010962,            0.005248,            0.005248,            0.005248
