               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.095936,            0.032856,            0.024486,             0.19203,             0.22704,              0.1495,            0.036384,            0.060033,            0.021468,            0.018012,            0.003314,            0.003314,            0.070174
                   1,            0.068329,            0.026134,            0.019167,             0.34117,             0.42565,             0.36268,              0.1214,            0.056079,            0.014101,            0.014631,           0.0065157,           0.0065157,            0.040043
                   2,            0.061895,            0.021286,            0.017272,             0.26337,             0.45854,             0.27955,            0.062072,            0.059386,             0.01159,            0.012897,           0.0095854,           0.0095854,           0.0097792
                   3,            0.059561,            0.020022,              0.0167,             0.49212,             0.57655,             0.51871,             0.18038,            0.043547,            0.012824,            0.011426,            0.009406,            0.009406,            0.009406
                   4,            0.054175,            0.020208,            0.014391,             0.66342,              0.6307,             0.65276,             0.28424,            0.039809,            0.011979,           0.0085671,            0.009406,            0.009406,            0.009406
                   5,            0.050712,            0.018488,            0.012917,             0.69114,             0.63946,             0.67987,             0.28611,            0.039194,            0.011006,           0.0087684,            0.009208,            0.009208,            0.009208
                   6,            0.045757,            0.018662,            0.012047,             0.69243,             0.65932,             0.70954,             0.27781,            0.043572,            0.010233,            0.006656,             0.00901,             0.00901,             0.00901
                   7,            0.046834,            0.018263,            0.010975,             0.76972,             0.73198,             0.81765,             0.42536,            0.033242,            0.010454,           0.0058518,            0.008812,            0.008812,            0.008812
                   8,            0.042841,            0.017804,             0.01044,             0.77093,             0.74025,             0.81729,             0.45545,            0.030383,             0.01038,           0.0051028,            0.008614,            0.008614,            0.008614
                   9,            0.042767,            0.017573,           0.0099256,             0.72291,             0.63927,             0.72814,              0.3538,            0.035875,            0.010628,            0.010286,            0.008416,            0.008416,            0.008416
                  10,            0.039312,            0.018043,            0.009209,             0.84755,             0.78176,             0.87717,             0.49116,            0.029049,           0.0098849,           0.0043161,            0.008218,            0.008218,            0.008218
                  11,            0.038888,            0.016937,           0.0077236,             0.82606,             0.77096,             0.87637,              0.4951,            0.029274,           0.0095057,           0.0038726,             0.00802,             0.00802,             0.00802
                  12,            0.039063,            0.016813,           0.0081654,             0.85786,             0.83896,             0.90344,             0.53938,            0.028136,           0.0093544,            0.004138,            0.007822,            0.007822,            0.007822
                  13,            0.038216,            0.016728,           0.0083107,             0.74865,             0.75762,             0.81625,             0.44851,            0.030187,           0.0094823,           0.0052902,            0.007624,            0.007624,            0.007624
                  14,            0.037817,            0.017149,           0.0073454,             0.78824,             0.78837,             0.86741,             0.51021,            0.030214,           0.0090854,           0.0059889,            0.007426,            0.007426,            0.007426
                  15,            0.037043,            0.016145,           0.0081771,             0.82583,              0.7777,             0.86413,             0.52321,            0.027955,           0.0091233,           0.0036252,            0.007228,            0.007228,            0.007228
                  16,            0.035545,            0.015764,           0.0077885,              0.8884,              0.8507,             0.93706,             0.52294,            0.028615,           0.0083962,           0.0025546,             0.00703,             0.00703,             0.00703
