               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.089505,            0.032031,            0.025281,              0.2593,             0.43546,             0.29939,            0.091096,            0.057374,            0.019313,            0.019043,            0.003314,            0.003314,            0.070174
                   1,            0.065902,            0.021008,            0.021126,             0.38155,             0.65739,               0.418,             0.14221,            0.049424,            0.012584,            0.018129,           0.0065157,           0.0065157,            0.040043
                   2,            0.063308,            0.020167,            0.019292,             0.44266,             0.56987,             0.44031,             0.18068,            0.048142,            0.011333,            0.014846,           0.0095854,           0.0095854,           0.0097792
                   3,            0.054407,            0.017962,            0.016364,             0.60549,               0.658,             0.67191,             0.28845,            0.043173,            0.010169,           0.0092955,            0.009406,            0.009406,            0.009406
                   4,            0.048937,            0.017994,              0.0135,             0.68831,             0.70994,             0.76021,             0.40162,            0.038031,            0.010034,           0.0083828,            0.009406,            0.009406,            0.009406
                   5,            0.045827,            0.017732,            0.011126,             0.74032,             0.73632,             0.78859,             0.41385,            0.034115,            0.010444,           0.0084263,            0.009208,            0.009208,            0.009208
                   6,              0.0427,            0.016738,            0.011113,             0.76231,             0.69485,             0.77608,             0.39918,            0.033486,            0.010188,           0.0066692,             0.00901,             0.00901,             0.00901
                   7,            0.040139,            0.016811,             0.01094,             0.83533,             0.75974,             0.87723,              0.4893,            0.029906,           0.0091045,           0.0060115,            0.008812,            0.008812,            0.008812
                   8,            0.037873,            0.016039,            0.010073,             0.82745,             0.80706,             0.90027,             0.54186,            0.028762,           0.0086505,           0.0051946,            0.008614,            0.008614,            0.008614
                   9,            0.037495,            0.015943,           0.0086886,             0.82886,             0.82901,             0.90855,             0.57015,            0.026505,           0.0086882,           0.0041741,            0.008416,            0.008416,            0.008416
                  10,            0.035674,            0.015468,           0.0067634,              0.8243,             0.82742,             0.88737,             0.52301,            0.027046,           0.0084068,           0.0042317,            0.008218,            0.008218,            0.008218
                  11,            0.035638,            0.015513,           0.0082723,             0.83751,             0.88728,             0.92697,             0.60016,            0.025576,           0.0079272,           0.0032521,             0.00802,             0.00802,             0.00802
                  12,            0.033994,            0.014914,           0.0077811,             0.86351,              0.8479,             0.92585,             0.57985,            0.026339,           0.0077194,           0.0038803,            0.007822,            0.007822,            0.007822
                  13,            0.033562,            0.015234,           0.0064583,             0.81996,             0.88605,             0.92731,              0.5696,            0.025998,           0.0077066,           0.0028197,            0.007624,            0.007624,            0.007624
                  14,            0.033015,            0.014018,           0.0065186,             0.88093,             0.86286,             0.93749,              0.5916,            0.026188,           0.0079087,           0.0025584,            0.007426,            0.007426,            0.007426
                  15,            0.032328,            0.014435,           0.0066174,             0.89154,             0.87524,             0.94564,             0.58775,            0.025646,           0.0077777,           0.0031711,            0.007228,            0.007228,            0.007228
                  16,            0.031988,            0.014144,           0.0060972,             0.88494,             0.89287,             0.95697,             0.65615,            0.022556,           0.0072262,           0.0021133,             0.00703,             0.00703,             0.00703
                  17,              0.0318,            0.014034,           0.0056433,             0.91042,              0.9328,               0.969,             0.61245,            0.026932,           0.0074332,           0.0019008,            0.006832,            0.006832,            0.006832
                  18,            0.031299,            0.014686,           0.0050355,             0.94592,             0.90605,             0.97332,             0.66388,             0.02261,           0.0075546,           0.0015456,            0.006634,            0.006634,            0.006634
                  19,            0.030723,            0.014183,           0.0050857,             0.83045,             0.91179,             0.94355,             0.59938,            0.026379,           0.0073289,           0.0015578,            0.006436,            0.006436,            0.006436
                  20,            0.029477,            0.012915,           0.0042556,             0.90182,               0.949,              0.9738,             0.69664,            0.021374,           0.0067763,           0.0013627,            0.006238,            0.006238,            0.006238
